feature_code,score,diff
S12000005,0.6714285714285714,0.057499999999999885
S12000006,0.7742857142857144,0.06250000000000011
S12000008,0.6717857142857143,0.029999999999999916
S12000010,0.7885714285714286,0.009999999999999898
S12000011,0.8475,-0.01749999999999996
S12000013,0.9025,0.03750000000000009
S12000014,0.7275,0.04249999999999998
S12000017,0.8067857142857143,-0.04249999999999998
S12000018,0.7271428571428571,-0.03500000000000003
S12000019,0.7085714285714285,0.015000000000000013
S12000020,0.7857142857142857,0.02499999999999991
S12000021,0.6825,0.07000000000000006
S12000023,0.8996428571428572,-0.07750000000000012
S12000026,0.7771428571428571,-0.047499999999999876
S12000027,0.8617857142857143,-0.01750000000000007
S12000028,0.7610714285714286,0.015000000000000013
S12000029,0.7014285714285714,0.03499999999999992
S12000030,0.7935714285714286,0.030000000000000027
S12000033,0.7057142857142857,-0.03249999999999997
S12000034,0.8014285714285715,0.012499999999999956
S12000035,0.8092857142857143,0.007499999999999951
S12000036,0.7160714285714286,0.040000000000000036
S12000038,0.7153571428571428,-0.022499999999999964
S12000039,0.6139285714285714,-0.10250000000000004
S12000040,0.7139285714285715,-0.050000000000000044
S12000041,0.7596428571428572,-0.029999999999999916
S12000042,0.6396428571428572,0.040000000000000036
S12000045,0.8503571428571428,0.025000000000000022
S12000047,0.7103571428571429,0.05999999999999994
S12000048,0.795,0.0024999999999999467
S12000049,0.6228571428571429,0.014999999999999902
S12000050,0.6632142857142858,-0.01749999999999996
S92000003,0.7253571428571429,0.0050000000000001155
